embedding,embedding_size,regressor,hyperparams,seed,accuracy,tpr,tnr,precision,recall,g_mean,tn,fp,fn,tp
mpnet,768,mlp,num_layers-3_dropout-0.1,950,0.9841,0.9842,0.9840,0.9840,0.9842,0.9841,4920,80,79,4921
mpnet,768,mlp,num_layers-3_dropout-0.1,686,0.9834,0.9830,0.9838,0.9838,0.9830,0.9834,4919,81,85,4915
mpnet,768,mlp,num_layers-3_dropout-0.1,319,0.9844,0.9840,0.9848,0.9848,0.9840,0.9844,4924,76,80,4920
mpnet,768,mlp,num_layers-3_dropout-0.1,84,0.9849,0.9870,0.9828,0.9829,0.9870,0.9849,4914,86,65,4935
mpnet,768,mlp,num_layers-3_dropout-0.2,823,0.9837,0.9856,0.9818,0.9819,0.9856,0.9837,4909,91,72,4928
mpnet,768,mlp,num_layers-3_dropout-0.2,950,0.9839,0.9820,0.9858,0.9857,0.9820,0.9839,4929,71,90,4910
mpnet,768,mlp,num_layers-3_dropout-0.2,686,0.9837,0.9838,0.9836,0.9836,0.9838,0.9837,4918,82,81,4919
mpnet,768,mlp,num_layers-3_dropout-0.2,319,0.9840,0.9842,0.9838,0.9838,0.9842,0.9840,4919,81,79,4921
mpnet,768,mlp,num_layers-3_dropout-0.2,84,0.9847,0.9872,0.9822,0.9823,0.9872,0.9847,4911,89,64,4936
mpnet,768,mlp,num_layers-3_dropout-0.3,823,0.9829,0.9828,0.9830,0.9830,0.9828,0.9829,4915,85,86,4914
mpnet,768,mlp,num_layers-3_dropout-0.3,950,0.9828,0.9820,0.9836,0.9836,0.9820,0.9828,4918,82,90,4910
mpnet,768,mlp,num_layers-3_dropout-0.3,686,0.9839,0.9854,0.9824,0.9825,0.9854,0.9839,4912,88,73,4927
mpnet,768,mlp,num_layers-3_dropout-0.3,319,0.9834,0.9842,0.9826,0.9826,0.9842,0.9834,4913,87,79,4921
mpnet,768,mlp,num_layers-3_dropout-0.3,84,0.9842,0.9864,0.9820,0.9821,0.9864,0.9842,4910,90,68,4932
mxbai,64,svm,kernel-linear,823,0.9324,0.9380,0.9268,0.9276,0.9380,0.9324,4634,366,310,4690
mxbai,64,svm,kernel-poly,823,0.9683,0.9774,0.9592,0.9599,0.9774,0.9683,4796,204,113,4887
mxbai,64,svm,kernel-rbf,823,0.9654,0.9742,0.9566,0.9574,0.9742,0.9654,4783,217,129,4871
mxbai,64,svm,kernel-sigmoid,823,0.8764,0.8786,0.8742,0.8748,0.8786,0.8764,4371,629,607,4393
mxbai,64,logistic_regression,max_iter-50,823,0.9305,0.9340,0.9270,0.9275,0.9340,0.9305,4635,365,330,4670
