model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
nomic256,30,96.9,97.46,97.18,97.18,95.96,97.46,96.71,96.71,-0.48,-0.48
nomic256,40,97.18,97.66,97.42,97.42,95.5,97.66,96.58,96.57,-0.86,-0.87
nomic256,50,97.06,97.62,97.34,97.34,95.94,97.62,96.78,96.78,-0.58,-0.58
nomic256,60,97.58,97.9,97.74,97.74,96.2,97.9,97.05,97.05,-0.71,-0.71
nomic256,70,97.88,97.78,97.83,97.83,96.42,97.78,97.1,97.1,-0.75,-0.75
nomic256,80,97.54,98.1,97.82,97.82,96.72,98.1,97.41,97.41,-0.42,-0.42
nomic256,90,97.56,98.18,97.87,97.87,96.44,98.18,97.31,97.31,-0.57,-0.57
nomic256,100,97.74,98.0,97.87,97.87,96.16,98.0,97.08,97.08,-0.81,-0.81
nomic256,125,98.04,98.36,98.2,98.2,96.36,98.36,97.36,97.35,-0.86,-0.87
nomic256,150,98.14,98.3,98.22,98.22,96.2,98.3,97.25,97.24,-0.99,-1.0
nomic256,175,98.06,98.48,98.27,98.27,95.88,98.48,97.18,97.17,-1.11,-1.12
nomic256,200,98.24,98.5,98.37,98.37,96.04,98.5,97.27,97.26,-1.12,-1.13
nomic256,250,98.46,98.34,98.4,98.4,96.36,98.34,97.35,97.34,-1.07,-1.08
nomic256,500,98.66,98.56,98.61,98.61,97.24,98.56,97.9,97.9,-0.72,-0.72
nomic256,1000,99.0,98.6,98.8,98.8,97.62,98.6,98.11,98.11,-0.7,-0.7
nomic256,2000,98.86,98.74,98.8,98.8,97.38,98.74,98.06,98.06,-0.75,-0.75
nomic256,5000,98.34,99.06,98.7,98.7,96.5,99.06,97.78,97.77,-0.93,-0.94
nomic512,2,96.12,91.94,94.03,94.01,94.36,91.94,93.15,93.14,-0.94,-0.93
nomic512,3,94.94,92.52,93.73,93.72,92.14,92.52,92.33,92.33,-1.49,-1.48
nomic512,4,92.92,96.2,94.56,94.55,89.68,96.2,92.94,92.88,-1.71,-1.77
nomic512,5,93.54,96.24,94.89,94.88,90.84,96.24,93.54,93.5,-1.42,-1.45
nomic512,6,95.28,95.2,95.24,95.24,93.36,95.2,94.28,94.28,-1.01,-1.01
nomic512,7,95.06,95.7,95.38,95.38,91.44,95.7,93.57,93.55,-1.9,-1.92
nomic512,8,96.26,95.78,96.02,96.02,93.5,95.78,94.64,94.63,-1.44,-1.45
nomic512,9,96.44,96.28,96.36,96.36,93.94,96.28,95.11,95.1,-1.3,-1.31
nomic512,10,96.96,95.7,96.33,96.33,93.74,95.7,94.72,94.71,-1.67,-1.68
nomic512,20,97.32,97.36,97.34,97.34,95.62,97.36,96.49,96.49,-0.87,-0.87
nomic512,30,97.24,97.66,97.45,97.45,95.44,97.66,96.55,96.54,-0.92,-0.93
nomic512,40,97.82,97.68,97.75,97.75,95.52,97.68,96.6,96.59,-1.18,-1.19
nomic512,50,98.2,97.44,97.82,97.82,96.18,97.44,96.81,96.81,-1.03,-1.03
nomic512,60,97.78,98.02,97.9,97.9,95.48,98.02,96.75,96.74,-1.17,-1.18
nomic512,70,98.0,98.24,98.12,98.12,95.48,98.24,96.86,96.85,-1.28,-1.29
nomic512,80,98.26,98.42,98.34,98.34,95.76,98.42,97.09,97.08,-1.27,-1.28
nomic512,90,98.18,98.38,98.28,98.28,95.54,98.38,96.96,96.95,-1.34,-1.35
nomic512,100,98.18,98.4,98.29,98.29,95.96,98.4,97.18,97.17,-1.13,-1.14
nomic512,125,98.24,98.38,98.31,98.31,96.12,98.38,97.25,97.24,-1.08,-1.09
nomic512,150,97.76,98.76,98.26,98.26,95.62,98.76,97.19,97.18,-1.09,-1.1
nomic512,175,98.22,98.48,98.35,98.35,96.06,98.48,97.27,97.26,-1.1,-1.11
nomic512,200,98.3,98.5,98.4,98.4,95.8,98.5,97.15,97.14,-1.27,-1.28
nomic512,250,98.4,98.7,98.55,98.55,96.2,98.7,97.45,97.44,-1.12,-1.13
nomic512,500,98.68,98.66,98.67,98.67,96.86,98.66,97.76,97.76,-0.92,-0.92
nomic512,1000,99.04,98.68,98.86,98.86,97.02,98.68,97.85,97.85,-1.02,-1.02
nomic512,2000,99.14,98.84,98.99,98.99,97.44,98.84,98.14,98.14,-0.86,-0.86
nomic512,5000,98.26,99.18,98.72,98.72,96.58,99.18,97.88,97.87,-0.85,-0.86
nomic768,2,95.24,93.32,94.28,94.28,94.06,93.32,93.69,93.69,-0.63,-0.63
nomic768,3,96.04,93.12,94.58,94.57,93.14,93.12,93.13,93.13,-1.53,-1.52
nomic768,4,93.76,96.4,95.08,95.07,90.54,96.4,93.47,93.42,-1.69,-1.74
nomic768,5,93.38,96.74,95.06,95.05,90.06,96.74,93.4,93.34,-1.75,-1.8
nomic768,6,94.72,96.36,95.54,95.54,91.46,96.36,93.91,93.88,-1.71,-1.74
nomic768,7,95.54,96.36,95.95,95.95,92.4,96.36,94.38,94.36,-1.64,-1.66
nomic768,8,95.8,96.2,96.0,96.0,92.7,96.2,94.45,94.43,-1.61,-1.64
nomic768,9,94.82,96.54,95.68,95.68,91.66,96.54,94.1,94.07,-1.65,-1.68
nomic768,10,96.1,95.9,96.0,96.0,92.9,95.9,94.4,94.39,-1.67,-1.68
